contributor,creator,date,identifier,language,title
Columbia University Libraries,,1650-01-01T00:00:00Z,ldpd_14734628_000,per,[Persian calligraphy and illustration album]
Columbia University Libraries,,1797-01-01T00:00:00Z,ldpd_14678094_000,ara,[Collection of Sufi writings and prayers]
Columbia University Libraries,,1875-01-01T00:00:00Z,ldpd_14734314_000,ara,[Wooden writing tablet for teaching grammar and religion]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_13604628_000,ara,[Qurʼān selections and prayers]
Columbia University Libraries,,1813-01-01T00:00:00Z,ldpd_13892499_000,ara,[On charms and talismans]
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_14649865_000,ara,[Questions and answers on Christianity]
Columbia University Libraries,,1748-01-01T00:00:00Z,ldpd_14734567_000,per,[Collection of Persian poetry and stories]
Columbia University Libraries,,1619-01-01T00:00:00Z,ldpd_15265612_000,per,[Three treatises on astronomy and arithmetic]
Columbia University Libraries,,1724-01-01T00:00:00Z,ldpd_15147190_000,ara,[Collection of treatises on Sufism and Islam]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_13893159_000,ara,[Collection of prayers and selections from the Qurʼān]
Columbia University Libraries,,1694-01-01T00:00:00Z,ldpd_14294920_000,ara,[Collection of works on astronomy and astronomical instruments]
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_15147176_000,cop,[Selections from the New Testament and Psalms in Coptic]
Columbia University Libraries,"Baháʼuʼlláh, 1817-1892",1872-01-01T00:00:00Z,ldpd_15311698_000,ara,[Selections from al-Kalimāt al-maknūnah and the complete Kitāb al-Īqān]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14230896_000,ara,Dhakhīrat al-Iskandar al-Malik ibn Fīliqs Dhī al-Qarnayn
Columbia University Libraries,,1650-01-01T00:00:00Z,ldpd_13604176_000,per,Risālah bar usṭurlāb
Columbia University Libraries,"Manesca, John, approximately 1780-1838",1846-01-01T00:00:00Z,ldpd_15311695_000,per,Translation from the French into Persian of Jean Manesca's Six Courses of French Lessons : from Vol. I of 1834 and Vol. 2 of 1835
Columbia University Libraries,"Kafʻamī, Ibrāhīm ibn ʻAlī, 1436 or 1437-1499 or 1500",1725-01-01T00:00:00Z,ldpd_13892968_000,ara,Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_14677750_000,ara,[Arabic poem with painting]
Columbia University Libraries,"Ibn Nāṣir al-Darʻī, Aḥmad ibn Muḥammad, 1647-1717",1750-01-01T00:00:00Z,ldpd_15467905_000,ara,[Riḥlat sayyid al-ṭarīqah wa-qaʻdat al-Sharīʻah wa-al-Ḥaqīqah]
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_13892614_000,ara,al-Niṣf al-thānī min juzʼ aḥad ʻashar
Columbia University Libraries,,1849-01-01T00:00:00Z,ldpd_15265576_000,ara,[Collection of prayers]
Columbia University Libraries,,1750-01-01T00:00:00Z,ldpd_14642785_000,ara,[Kitāb fī masāʼil fiqhīyah]
Columbia University Libraries,,1600-01-01T00:00:00Z,ldpd_15264323_000,ara,[Kitāb al-adʻiyah]
